,uniform_initial,clustered_initial
a2:13.0,0.00018969021310365647,0.00019018275130998626
a2:24.0,0.00018983789731049177,0.00019048923978234807
a2:34.0,0.00018990105981905753,0.00019056481395530406
a2:45.0,0.00019003935034384172,0.00019074878352419458
a2:56.0,0.00018992337498414878,0.00019150737995091545
a2:67.0,0.00019064688390971852,0.0001919670423783517
a2:77.0,0.0001904375582611374,0.0001928480933591352
a2:88.0,0.00019101474263488028,0.0001935771411881087
a2:99.0,0.00019146899328000887,0.0001948898058787257
a2:110.0,0.00019143386658649505,0.0001964157818975619
a2:120.0,0.00019174327897164849,0.0001984685132442195
a2:131.0,0.00019259330197576128,0.00020033587330553878
a2:142.0,0.00019337569301458728,0.0002035760475714476
a2:153.0,0.00019446066715378215,0.00020742103844554875
a2:163.0,0.00019550073459961032,0.00021182193346902097
a2:174.0,0.00019674522262850234,0.00021734931427395623
a2:185.0,0.00019804305841153883,0.0002260895685020711
a2:196.0,0.00020114128847098492,0.00023715678192050285
a2:206.0,0.00020352397934273212,0.00025053466652304467
a2:217.0,0.00020643866407924638,0.00027792428176252426
a2:228.0,0.00020994299222820185,0.0006259717704551858
a2:239.0,0.0002153929420161019,0.0012081362860517418
a2:249.0,0.00022406682914393207,0.0017897571880037435
a2:260.0,0.00023710740338319676,0.002644321761524487
