,uniform_initial,clustered_initial
13.0,0.00019033249377852483,0.00019205038311108643
24.0,0.0001902579138056062,0.0001953281679069936
34.0,0.00019100303013039837,0.00020035604797467686
45.0,0.00019235107585935222,0.00020791697124916518
56.0,0.00019296731111843784,0.00021714684145287405
67.0,0.00019317012594099507,0.00022909518033471693
77.0,0.00019483078337196599,0.00024136670019869256
88.0,0.00019974772122980904,0.00025934972712942744
99.0,0.00019888889430259016,0.00028146760467303336
110.0,0.00020284294751320866,0.0003074668675035714
120.0,0.0002077586138178402,0.00034625949988985864
131.0,0.0002141868952215432,0.00039662921522000855
142.0,0.0002159418881463061,0.0011498992981158157
153.0,0.00023909003250620372,0.0026848340960261255
163.0,0.0002711951242492248,0.0037549025571882587
174.0,0.0002740643841883908,0.004989895508002398
185.0,0.00034158511955584964,0.006113834076820641
196.0,0.001815900432343745,0.007168158032921465
206.0,0.002802456864463509,0.008152777379768267
217.0,0.004180203629433098,0.009227784490798812
228.0,0.005913479662287016,0.01030080022323676
239.0,0.007500959500960156,0.011171798219840585
249.0,0.007845797478359595,0.012036207369916764
260.0,0.009331587429945493,0.013063962435122752
