,uniform_initial,clustered_initial
13.0,0.00018860454819053183,0.00018902050675433368
24.0,0.00018870310519077826,0.0001902903086328009
34.0,0.0001886788168378317,0.0001927856650491219
45.0,0.0001891388449774153,0.00019646778820999884
56.0,0.0001890022092363722,0.00020350537352204967
67.0,0.0001891027189345184,0.00021673183518175238
77.0,0.00018957621533322033,0.00023445867468134578
88.0,0.0001897264110572284,0.0020733375244831598
99.0,0.0001917653807712941,0.003948328857948102
110.0,0.00019206050444522854,0.005169745652811002
120.0,0.0001928756826765559,0.005819875006988761
131.0,0.0001980542603145631,0.0063837571500939
142.0,0.0002073704046581466,0.006516423725998818
153.0,0.0002240959951302931,0.0068662083827889095
163.0,0.0009659763572693291,0.007173290584203601
174.0,0.002817525743634803,0.007360170819119165
185.0,0.005379740294680337,0.007830934605700729
196.0,0.007614340139457154,0.008285924772822514
206.0,0.008496561278163057,0.00881184698229792
217.0,0.009522442586157847,0.009707338329741057
228.0,0.010250709707713445,0.01000451344018223
239.0,0.010291580337190189,0.010068770345785561
249.0,0.010111871347875511,0.010117355089450171
260.0,0.009724475772806936,0.010264362554576092
